Decimal,Name,Description,References
1,other,none of the following,[RFC1213]
2,regular1822,BBN Report 1822,[RFC1213]
3,hdh1822,BBN Report 1822,[RFC1213]
4,ddn-x25,BBN Report 1822,[RFC1213]
5,x25,X.25,[RFC1382]
6,ethernet-csmacd,,[RFC1213]
7,IEEE802.3,DEPRECATED,[RFC3635]
8,IEEE802.4,Token Bus-like Objects,[RFC1239]
9,IEEE802.5,Token Ring-like Objects,[RFC1748]
10,iso88026-man,,[RFC1213]
11,starLan,DEPRECATED,[RFC3635]
12,proteon-10Mbit,,[RFC1213]
13,proteon-80Mbit,,[RFC1213]
14,hyperchannel,,[RFC1213]
15,FDDI,FDDI Objects,[RFC1512]
16,lapb,LAP B,[RFC1381]
17,sdlc,,[RFC1213]
18,ds1,T1/E1 Carrier Objects,[RFC4805]
19,e1,obsolete,[RFC4805]
20,basicISDN,,[RFC1213]
21,primaryISDN,,[RFC1213]
22,propPointToPointSerial,,[RFC1213]
23,ppp,Point-to-Point Protocol,[RFC1213][RFC1471]
24,softwareLoopback,,[RFC1213]
25,eon,,[RFC1213]
26,ethernet-3Mbit,,[RFC1213]
27,nsip,,[RFC1213]
28,slip,,[RFC1213]
29,ultra,,[RFC1213]
30,ds3,DS3/E3 Interface Objects,[RFC3896]
31,sip,SMDS Interface Objects,[RFC1694]
32,frame-relay,Frame Relay Objects for DTE,[RFC2115]
33,RS-232,RS-232 Objects,[RFC1659]
34,Parallel,Parallel Printer Objects,[RFC1660]
35,arcnet,ARC network,
36,arcnet-plus,ARC network plus,
37,atm,ATM,
38,MIOX25,MIOX25,[RFC1461]
39,SONET,SONET or SDH,
40,x25ple,X.25 packet level,[RFC2127]
41,iso88022llc,802.2 LLC,
42,localTalk,,
43,smds-dxi,SMDS DXI,
44,frameRelayService,Frame Relay DCE,[RFC2954]
45,v35,V.35,
46,hssi,HSSI,
47,hippi,HIPPI,
48,modem,generic modem,
49,aal5,AAL5 over ATM,
50,sonetPath,,
51,sonetVT,,
52,smds-icip,SMDS Inter-Carrier Interface Protocol,
53,propVirtual,proprietary vitural/internal interface,[RFC2863]
54,propMultiLink,proprietary multi-link multiplexing,[RFC2863]
55,ieee80212,100BaseVG,
56,fibre-channel,Fibre Channel,
57,hippiInterfaces,HIPPI interfaces,[Philip_Cameron]
58,FrameRelayInterconnect,Interconnet over FR,[Unknown]
59,aflane8023,ATM Emulated LAN for 802.3,[Keith_McCloghrie]
60,aflane8025,ATM Emulated LAN for 802.5,[Keith_McCloghrie]
61,cctEmul,ATM Emulated circuit,[Guy_Fedorkow]
62,fastEther,DEPRECATED,[RFC3635]
63,isdn,ISDN and X.25,[RFC1356]
64,v11,CCITT V.11/X.21,[Satish_Popat]
65,v36,CCITT V.36,[Satish_Popat]
66,g703-64k,CCITT G703 at 64Kbps,[Satish_Popat]
67,g703-2mb,CCITT G703 at 2Mbps,[Satish_Popat]
68,qllc,SNA QLLC,[Satish_Popat]
69,fastEtherFX,DEPRECATED,[RFC3635]
70,channel,channel,[Steven_Schwell]
71,IEEE802.11,radio spread spectrum,[Dawkoon_Paul_Lee]
72,ibm370parChan,IBM System 360/370 OEMI Channel,[Bill_Kwan]
73,ESCON,IBM Enterprise Systems Connection,[Bill_Kwan]
74,DLSw,Data Link Switching,[Bill_Kwan]
75,ISDNs,ISDN S/T interface,[Ed_Alcoff]
76,ISDNu,ISDN U interface,[Ed_Alcoff]
77,lapd,Link Access Protocol D,[Ed_Alcoff]
78,ip-switch,IP Switching Objects,[Joe_Wei]
79,rsrb,Remote Source Route Bridging,[Bob_Clouston]
80,atm-logical,ATM Logical Port,[RFC3606]
81,ds0,Digital Signal Level 0,[RFC2494]
82,ds0Bundle,group of ds0s on the same ds1,[RFC2494]
83,bsc,Bisynchronous Protocol,[Bill_Kwan]
84,async,Asynchronous Protocol,[Bill_Kwan]
85,cnr,Combat Net Radio,[Herb_Jensen]
86,iso88025Dtr,ISO 802.5r DTR,[Trevor_Warwick]
87,eplrs,Enhanced  Pos Loc Report Sys,[Herb_Jensen]
88,arap,Appletalk Remote Access Protocol,[Jim_Halpin]
89,propCnls,Proprietary Connectionless Proto.,[Robert_Neill]
90,hostPad,CCITT-ITU X.29 PAD Protocol,[Robert_Neill]
91,termPad,CCITT-ITU X.3 PAD Facility,[Robert_Neill]
92,frameRelayMPI,Multiproto Interconnect over FR,[Robert_Neill]
93,x213,CCITT-ITU X213,[Robert_Neill]
94,adsl,Asymmetric Digital Subscriber Loop,[Gregory_Bathrick]
95,radsl,Rate-Adapt. Digital Subscriber Loop,[Gregory_Bathrick]
96,sdsl,Symmetric Digital Subscriber Loop,[Gregory_Bathrick]
97,vdsl,Very H-Speed Digital Subscrib. Loop,[Gregory_Bathrick]
98,iso88025CRFPInt,ISO 802.5 CRFP,[Trevor_Warwick]
99,myrinet,Myricom Myrinet,[Bob_Felderman]
100,voiceEM,Voice recEive and transMit (E&M),[Bob_Stewart]
101,voiceFXO,Voice Foreign Exchange Office,[Bob_Stewart]
102,voiceFXS,Voice Foreign Exchange Station,[Bob_Stewart]
103,voiceEncap,Voice encapsulation,[Bob_Stewart]
104,voiceOverIp,Voice over IP encapsulation,[Bob_Stewart]
105,atmDxi,ATM DXI,[Gary_Hanson]
106,atmFuni,ATM FUNI,[Gary_Hanson]
107,atmIma,ATM IMA,[Chris_Martin]
108,pppMultilinkBundle,PPP Multilink Bundle,[John_Shriver]
109,ipOverCdlc,IBM ipOverCdlc,[Ken_White]
110,ipOverClaw,IBM Common Link Access to Workstn,[Ken_White]
111,stackToStack,IBM stackToStack,[Ken_White]
112,virtualIpAddress,IBM VIPA,[Ken_White]
113,mpc,IBM multi-protocol channel support,[Ken_White]
114,ipOverAtm,IBM ipOverAtm,[RFC2320]
115,iso88025Fiber,ISO 802.5j Fiber Token Ring,[Kevin_Lingle]
116,tdlc,IBM twinaxial data link control,[John_Pechacek]
117,gigabitEthernet,DEPRECATED,[RFC3635]
118,hdlc,HDLC,[Sebastien_Rosset]
119,lapf,LAP F,[Sebastien_Rosset]
120,v37,V.37,[Sebastien_Rosset]
121,x25mlp,Multi-Link Protocol,[Sebastien_Rosset]
122,x25huntGroup,X25 Hunt Group,[Sebastien_Rosset]
123,transpHdlc,Transp HDLC,[Sebastien_Rosset]
124,interleave,Interleave channel,[Karmous_Edwards]
125,fast,Fast channel,[Karmous_Edwards]
126,ip,IP (for APPN HPR in IP networks),[Robert_Moore]
127,docsCableMaclayer,CATV Mac Layer,[Azlina_Palmer]
128,docsCableDownstream,CATV Downstream interface,[Azlina_Palmer]
129,docsCableUpstream,CATV Upstream interface,[Azlina_Palmer]
130,a12MppSwitch,Avalon Parallel Processor,[Ross_Harvey]
131,tunnel,Encapsulation interface,[Dave_Thaler]
132,coffee,coffee pot,[RFC2325]
133,ces,Circiut Emulation Service,[Ron_Carmona]
134,atmSubInterface,(x)  ATM Sub Interface,[Keith_McCloghrie]
135,l2vlan,Layer 2 Virtual LAN using 802.1Q,[Mike_MacFaden]
136,l3ipvlan,Layer 3 Virtual LAN - IP Protocol,[Mike_MacFaden]
137,l3ipxvlan,Layer 3 Virtual LAN - IPX Prot.,[Mike_MacFaden]
138,digitalPowerLine,IP over Power Lines,[Hans_Scholtes]
139,mediaMailOverIp,(xxx)  Multimedia Mail over IP,[Hongchi_Shih]
140,dtm,Dynamic synchronous Transfer Mode,[Jakob_Ellerstedt]
141,dcn,Data Communications Network,[James_Card]
142,ipForward,IP Forwarding Interface,[James_Card]
143,msdsl,Multi-rate Symmetric DSL,[Gopinath_Durairaj]
144,ieee1394     IEEE1394,High Performance Serial Bus,[Kenji_Fujisawa]
145,if-gsn,HIPPI-6400,[Jean_Michel_Pittet]
146,dvbRccMacLayer,DVB-RCC MAC Layer,[Maarten_Oelering]
147,dvbRccDownstream,DVB-RCC Downstream Channel,[Maarten_Oelering]
148,dvbRccUpstream,DVB-RCC Upstream Channel,[Maarten_Oelering]
149,atmVirtual,ATM Virtual Interface,[Subrahmanya_Hegde]
150,mplsTunnel,MPLS Tunnel Virtual Interface,[Cheenu_Srinivasan]
151,srp,Spatial Reuse Protocol,[Bill_Shetti]
